Date,Weekday,Post,Like,Comment,Share
2016/08/01,2,1,11,0,0
2016/08/02,3,1,4,0,0
2016/08/03,4,0,0,0,0
2016/08/04,5,0,0,0,0
2016/08/05,6,2,53,1,1
2016/08/06,7,0,0,0,0
2016/08/07,1,0,0,0,0
2016/08/08,2,0,0,0,0
2016/08/09,3,1,11,0,4
2016/08/10,4,2,9,0,1
2016/08/11,5,0,0,0,0
2016/08/12,6,0,0,0,0
2016/08/13,7,0,0,0,0
2016/08/14,1,2,26,0,0
2016/08/15,2,0,0,0,0
2016/08/16,3,0,0,0,0
2016/08/17,4,0,0,0,0
2016/08/18,5,1,8,0,0
2016/08/19,6,0,0,0,0
2016/08/20,7,1,8,0,0
2016/08/21,1,0,0,0,0
2016/08/22,2,2,81,0,4
2016/08/23,3,0,0,0,0
2016/08/24,4,1,9,0,2
2016/08/25,5,1,23,0,3
2016/08/26,6,0,0,0,0
2016/08/27,7,1,11,0,1
2016/08/28,1,0,0,0,0
2016/08/29,2,1,19,0,3
2016/08/30,3,1,9,0,0
2016/08/31,4,1,28,0,0
2016/09/01,5,0,0,0,0
2016/09/02,6,0,0,0,0
2016/09/03,7,0,0,0,0
2016/09/04,1,0,0,0,0
2016/09/05,2,0,0,0,0
2016/09/06,3,0,0,0,0
2016/09/07,4,0,0,0,0
2016/09/08,5,1,14,0,0
2016/09/09,6,0,0,0,0
2016/09/10,7,0,0,0,0
2016/09/11,1,0,0,0,0
2016/09/12,2,0,0,0,0
2016/09/13,3,1,5,1,1
2016/09/14,4,1,13,0,0
2016/09/15,5,0,0,0,0
2016/09/16,6,0,0,0,0
2016/09/17,7,0,0,0,0
2016/09/18,1,0,0,0,0
2016/09/19,2,0,0,0,0
2016/09/20,3,0,0,0,0
2016/09/21,4,0,0,0,0
2016/09/22,5,1,12,1,2
2016/09/23,6,3,12,0,0
2016/09/24,7,1,3,0,0
2016/09/25,1,0,0,0,0
2016/09/26,2,0,0,0,0
2016/09/27,3,0,0,0,0
2016/09/28,4,1,22,0,1
2016/09/29,5,7,625,9,48
2016/09/30,6,4,53,0,2
2016/10/01,7,0,0,0,0
2016/10/02,1,1,16,0,2
2016/10/03,2,0,0,0,0
2016/10/04,3,1,50,0,0
2016/10/05,4,1,29,0,1
2016/10/06,5,1,5,0,0
2016/10/07,6,2,7,0,0
2016/10/08,7,0,0,0,0
2016/10/09,1,0,0,0,0
2016/10/10,2,0,0,0,0
2016/10/11,3,0,0,0,0
2016/10/12,4,0,0,0,0
2016/10/13,5,3,44,0,0
2016/10/14,6,4,48,1,10
2016/10/15,7,0,0,0,0
2016/10/16,1,2,23,0,4
2016/10/17,2,0,0,0,0
2016/10/18,3,0,0,0,0
2016/10/19,4,5,119,10,89
2016/10/20,5,1,21,0,2
2016/10/21,6,3,52,1,15
2016/10/22,7,0,0,0,0
2016/10/23,1,0,0,0,0
2016/10/24,2,1,9,0,5
2016/10/25,3,1,965,31,92
2016/10/26,4,1,350,12,50
2016/10/27,5,4,469,12,52
2016/10/28,6,2,6,0,1
2016/10/29,7,2,12,0,0
2016/10/30,1,0,0,0,0
2016/10/31,2,2,15,0,0
2016/11/01,3,8,72,7,7
2016/11/02,4,2,3630,71,189
2016/11/03,5,2,57,0,8
2016/11/04,6,7,21,0,1
2016/11/05,7,2,41,1,0
2016/11/06,1,2,20,2,0
2016/11/07,2,2,5,0,0
2016/11/08,3,8,1419,13,61
2016/11/09,4,8,202,1,18
2016/11/10,5,10,118,3,14
2016/11/11,6,10,262,1,17
2016/11/12,7,7,60,1,4
2016/11/13,1,7,32,0,2
2016/11/14,2,3,162,3,11
2016/11/15,3,8,119,0,18
2016/11/16,4,1,110,0,10
2016/11/17,5,1,96,0,11
2016/11/18,6,7,115,5,25
2016/11/19,7,4,284,6,4
2016/11/20,1,1,290,1,0
2016/11/21,2,1,2,1,0
2016/11/22,3,3,109,5,3
2016/11/23,4,0,0,0,0
2016/11/24,5,0,0,0,0
2016/11/25,6,1,3,0,0
2016/11/26,7,0,0,0,0
2016/11/27,1,1,6,0,0
2016/11/28,2,0,0,0,0
2016/11/29,3,0,0,0,0
2016/11/30,4,0,0,0,0
2016/12/01,5,1,74,0,0
2016/12/02,6,1,3,0,1
2016/12/03,7,0,0,0,0
2016/12/04,1,0,0,0,0
2016/12/05,2,0,0,0,0
2016/12/06,3,0,0,0,0
2016/12/07,4,1,6,0,0
2016/12/08,5,1,17,1,8
2016/12/09,6,1,18,0,8
2016/12/10,7,1,4,0,0
2016/12/11,1,1,20,0,2
2016/12/12,2,0,0,0,0
2016/12/13,3,3,34,0,9
2016/12/14,4,1,21,0,1
2016/12/15,5,0,0,0,0
2016/12/16,6,1,13,0,0
2016/12/17,7,0,0,0,0
2016/12/18,1,0,0,0,0
2016/12/19,2,1,10,0,0
2016/12/20,3,0,0,0,0
2016/12/21,4,0,0,0,0
2016/12/22,5,0,0,0,0
2016/12/23,6,0,0,0,0
2016/12/24,7,1,9,0,2
2016/12/25,1,0,0,0,0
2016/12/26,2,1,11,0,1
2016/12/27,3,0,0,0,0
2016/12/28,4,0,0,0,0
2016/12/29,5,0,0,0,0
2016/12/30,6,1,4,1,1
2016/12/31,7,0,0,0,0
2017/01/01,1,0,0,0,0
2017/01/02,2,3,18,0,6
2017/01/03,3,2,17,0,7
2017/01/04,4,0,0,0,0
2017/01/05,5,2,4,0,0
2017/01/06,6,0,0,0,0
2017/01/07,7,1,2,0,1
2017/01/08,1,1,7,0,1
2017/01/09,2,0,0,0,0
2017/01/10,3,0,0,0,0
2017/01/11,4,0,0,0,0
2017/01/12,5,0,0,0,0
2017/01/13,6,0,0,0,0
2017/01/14,7,0,0,0,0
2017/01/15,1,0,0,0,0
2017/01/16,2,0,0,0,0
2017/01/17,3,0,0,0,0
2017/01/18,4,0,0,0,0
2017/01/19,5,2,5,0,2
2017/01/20,6,0,0,0,0
2017/01/21,7,0,0,0,0
2017/01/22,1,1,20,0,1
2017/01/23,2,0,0,0,0
2017/01/24,3,3,64,0,0
2017/01/25,4,0,0,0,0
2017/01/26,5,1,5,0,0
2017/01/27,6,0,0,0,0
2017/01/28,7,0,0,0,0
2017/01/29,1,1,33,0,0
2017/01/30,2,2,8,0,0
2017/01/31,3,0,0,0,0
2017/02/01,4,0,0,0,0
2017/02/02,5,2,55,0,1
2017/02/03,6,4,22,0,0
2017/02/04,7,1,40,0,0
2017/02/05,1,0,0,0,0
2017/02/06,2,1,3,0,0
2017/02/07,3,2,144,1,0
2017/02/08,4,0,0,0,0
2017/02/09,5,8,58,0,2
2017/02/10,6,1,1,0,0
2017/02/11,7,0,0,0,0
2017/02/12,1,0,0,0,0
2017/02/13,2,1,11,0,0
2017/02/14,3,0,0,0,0
2017/02/15,4,3,124,2,0
2017/02/16,5,0,0,0,0
2017/02/17,6,2,59,2,0
2017/02/18,7,1,3,0,0
2017/02/19,1,0,0,0,0
2017/02/20,2,0,0,0,0
2017/02/21,3,1,21,0,6
2017/02/22,4,0,0,0,0
2017/02/23,5,0,0,0,0
2017/02/24,6,0,0,0,0
2017/02/25,7,0,0,0,0
2017/02/26,1,0,0,0,0
2017/02/27,2,0,0,0,0
2017/02/28,3,0,0,0,0
2017/03/01,4,0,0,0,0
2017/03/02,5,0,0,0,0
2017/03/03,6,0,0,0,0
2017/03/04,7,1,18,0,0
2017/03/05,1,0,0,0,0
2017/03/06,2,0,0,0,0
2017/03/07,3,0,0,0,0
2017/03/08,4,0,0,0,0
2017/03/09,5,4,526,2,7
2017/03/10,6,6,134,1,7
2017/03/11,7,0,0,0,0
2017/03/12,1,0,0,0,0
2017/03/13,2,0,0,0,0
2017/03/14,3,0,0,0,0
2017/03/15,4,1,4,0,0
2017/03/16,5,0,0,0,0
2017/03/17,6,0,0,0,0
2017/03/18,7,0,0,0,0
2017/03/19,1,0,0,0,0
2017/03/20,2,0,0,0,0
2017/03/21,3,0,0,0,0
2017/03/22,4,0,0,0,0
2017/03/23,5,0,0,0,0
2017/03/24,6,0,0,0,0
2017/03/25,7,0,0,0,0
2017/03/26,1,0,0,0,0
2017/03/27,2,0,0,0,0
2017/03/28,3,0,0,0,0
2017/03/29,4,0,0,0,0
2017/03/30,5,2,64,0,0
2017/03/31,6,0,0,0,0
2017/04/01,7,0,0,0,0
2017/04/02,1,0,0,0,0
2017/04/03,2,0,0,0,0
2017/04/04,3,0,0,0,0
2017/04/05,4,0,0,0,0
2017/04/06,5,2,7,0,0
2017/04/07,6,0,0,0,0
2017/04/08,7,0,0,0,0
2017/04/09,1,0,0,0,0
2017/04/10,2,1,1,0,0
2017/04/11,3,0,0,0,0
2017/04/12,4,0,0,0,0
2017/04/13,5,0,0,0,0
2017/04/14,6,0,0,0,0
2017/04/15,7,0,0,0,0
2017/04/16,1,0,0,0,0
2017/04/17,2,1,9,0,0
2017/04/18,3,0,0,0,0
2017/04/19,4,1,105,0,9
2017/04/20,5,0,0,0,0
2017/04/21,6,1,5,0,0
2017/04/22,7,1,15,0,0
2017/04/23,1,0,0,0,0
2017/04/24,2,0,0,0,0
2017/04/25,3,0,0,0,0
2017/04/26,4,0,0,0,0
