年度,粗  出  生  率,粗  死  亡  率,自然增加率
36,38.30,18.14,20.16
37,39.67,14.33,25.33
38,42.36,13.14,29.22
39,43.29,11.47,31.82
40,49.97,11.57,38.4
41,46.62,9.88,36.74
42,45.22,9.43,35.79
43,44.63,8.17,36.47
44,45.29,8.59,36.7
45,44.84,8.02,36.82
46,41.39,8.46,32.93
47,41.70,7.60,34.10
48,41.20,7.25,33.95
49,39.59,6.96,32.63
50,38.32,6.74,31.58
51,37.42,6.45,30.97
52,36.32,6.14,30.18
53,34.59,5.75,28.84
54,32.74,5.47,27.27
55,32.47,5.46,27.01
56,28.51,5.47,23.04
57,29.29,5.47,23.82
58,27.97,5.05,22.92
59,27.19,4.91,22.28
60,25.67,4.79,20.88
61,24.18,4.73,19.45
62,23.80,4.77,19.03
63,23.42,4.77,18.65
64,22.98,4.70,18.28
65,25.92,4.70,21.22
66,23.75,4.77,18.98
67,24.10,4.68,19.42
68,24.41,4.73,19.68
69,23.38,4.76,18.62
70,22.96,4.84,18.12
71,22.08,4.77,17.31
72,20.56,4.88,15.68
73,19.60,4.75,14.85
74,18.04,4.81,13.23
75,15.93,4.90,11.03
76,16.01,4.91,11.10
77,17.24,5.15,12.09
78,15.72,5.15,10.57
79,16.55,5.21,11.34
80,15.70,5.18,10.52
81,15.53,5.34,10.19
82,15.58,5.31,10.27
83,15.31,5.40,9.91
84,15.50,5.60,9.90
85,15.18,5.71,9.47
86,15.07,5.59,9.48
87,12.43,5.64,6.79
88,12.89,5.73,7.16
89,13.76,5.68,8.08
90,11.65,5.71,5.94
91,11.02,5.73,5.29
92,10.06,5.80,4.27
93,9.56,5.97,3.59
94,9.06,6.13,2.92
95,8.96,5.95,3.01
96,8.92,6.16,2.76
97,8.64,6.25,2.4
98,8.29,6.22,2.07
99,7.21,6.30,0.91
100,8.48,6.59,1.88
101,9.86,6.63,3.23
102,8.53,6.68,1.85
103,8.99,7.00,1.98
104,9.10,6.98,2.12
105,8.86,7.33,1.53
106,8.23,7.27,0.96
107,7.70,7.33,0.37
108,7.53,7.47,0.06
109,7.01,7.34,-0.34
110,6.55,7.83,-1.27
111,5.96,8.89,-2.93
112,5.81,8.80,-2.99
113,5.76,8.63,-2.87
114,4.56,8.82,-4.26
