,"消費者物價基本分類指數"
,,,,,,,"指數基期：民國110年=100"
"統計期","總指數","一.食物類","二.衣著類","三.居住類","四.交通及通訊類","五.醫藥保健類","六.教養娛樂類","七.雜項類",
"70年","54.70","40.44","88.94","61.88","84.67","46.86","40.06","55.91",
"70年1月","52.95","38.52","87.99","60.38","82.33","46.11","38.74","55.64",
"70年2月","53.85","39.64","88.06","60.87","83.89","46.35","39.01","56.63",
"70年3月","54.09","39.66","88.19","61.49","84.72","46.67","39.38","56.11",
"70年4月","54.30","39.96","88.50","61.61","85.00","46.68","39.44","56.12",
"70年5月","54.09","39.51","88.67","61.74","85.08","46.73","39.45","56.00",
"70年6月","54.61","40.41","88.85","61.82","85.06","46.75","39.44","55.89",
"70年7月","54.82","40.74","88.94","61.89","85.06","47.15","39.46","55.59",
"70年8月","55.36","41.58","89.03","62.19","85.07","47.16","39.52","55.67",
"70年9月","56.02","42.24","89.36","62.50","85.10","47.16","41.50","55.88",
"70年10月","55.71","41.56","89.72","62.53","85.01","47.17","41.59","55.86",
"70年11月","55.34","40.78","89.85","62.80","84.96","47.16","41.62","55.73",
"70年12月","55.26","40.65","90.07","62.76","84.77","47.25","41.62","55.75",
"71年","56.32","42.11","90.51","63.47","85.00","47.34","42.17","55.85",
"71年1月","55.62","40.95","90.24","63.12","85.07","47.29","41.55","57.34",
"71年2月","55.44","40.80","90.27","63.17","84.77","47.32","41.60","55.72",
"71年3月","55.59","41.06","90.23","63.21","84.79","47.32","41.63","55.59",
"71年4月","55.73","41.28","90.34","63.24","84.79","47.32","41.64","55.65",
"71年5月","56.07","41.90","90.64","63.25","84.79","47.35","41.74","55.48",
"71年6月","56.18","42.11","90.64","63.29","84.88","47.40","41.75","55.34",
"71年7月","56.15","42.02","90.51","63.32","85.00","47.38","41.75","55.46",
"71年8月","57.85","45.08","90.50","63.43","85.04","47.39","41.79","55.58",
"71年9月","57.31","43.63","90.50","63.65","85.09","47.35","43.09","56.03",
"71年10月","56.85","42.72","90.67","63.78","85.20","47.33","43.17","55.97",
"71年11月","56.39","41.75","90.74","64.03","85.20","47.33","43.17","56.00",
"71年12月","56.60","42.06","90.78","64.18","85.32","47.34","43.16","56.09",
"72年","57.09","42.68","91.08","64.71","84.41","47.32","43.52","56.33",
"72年1月","56.62","41.91","90.76","64.58","85.41","47.32","43.16","56.23",
"72年2月","57.19","42.72","90.78","64.81","85.62","47.28","43.21","56.92",
"72年3月","57.43","43.34","90.78","64.70","85.06","47.27","43.30","56.24",
