word,14th,15th,total
"我們",86,75,161
"台灣",37,45,82
"國家",32,27,59
"政府",37,14,51
"發展",20,26,46
"經濟",27,17,44
"社會",21,22,43
"產業",3,38,41
"人民",17,18,35
"未來",15,20,35
"民主",23,9,32
"改革",16,12,28
"全球",8,18,26
"國際",4,21,25
"就是",18,5,23
"兩岸",14,9,23
"過去",9,14,23
"區域",18,4,22
"以及",8,14,22
"參與",12,7,19
"和平",11,8,19
"共同",14,3,17
"議題",14,3,17
"司法",13,4,17
"責任",10,7,17
"必須",10,7,17
"積極",10,7,17
"穩定",5,11,16
"關係",9,6,15
"安全",5,10,15
"可以",5,10,15
"持續",4,11,15
"四年",0,15,15
"合作",10,4,14
"問題",8,6,14
"打造",8,5,13
"改變",7,6,13
"世界",4,9,13
"推動",8,4,12
"這是",6,6,12
"重要",5,7,12
"強化",4,8,12
"制度",3,9,12
"承擔",8,3,11
"沒有",8,3,11
"已經",7,4,11
"需要",7,4,11
"團結",7,4,11
"相關",6,5,11
"因為",5,6,11
"不會",3,8,11
"成為",3,8,11
"你們",0,11,11
"疫情",0,11,11
"年輕人",9,1,10
"一起",8,2,10
"模式",8,2,10
"歷史",8,2,10
"這一",5,5,10
"維持",2,8,10
"挑戰",1,9,10
"防疫",0,10,10
"對立",8,1,9
"正義",8,1,9
"總統",7,2,9
"大家",6,3,9
"機制",6,3,9
"自由",6,3,9
"面對",6,3,9
"努力",6,3,9
"中華民國",5,4,9
"價值",5,4,9
"關鍵",5,4,9
"照顧",5,4,9
"基礎",4,5,9
"國人",3,6,9
"能源",3,6,9
"安全網",3,6,9
"能力",2,7,9
"謝謝",2,7,9
"全力",1,8,9
"現在",5,3,8
"應該",5,3,8
"建立",5,3,8
"體系",4,4,8
"同胞",3,5,8
"所有",3,5,8
"能夠",2,6,8
"需求",1,7,8
"體制",1,7,8
"生活",5,2,7
"轉型",5,2,7
"精神",5,2,7
"台灣人",4,3,7
"今天",4,3,7
"環境",4,3,7
"他們",4,3,7
"對話",4,3,7
"政策",3,4,7
"目標",3,4,7
"機會",2,5,7
"健康",2,5,7
"事務",2,5,7
"透過",6,0,6
"年金",6,0,6
"結構",6,0,6
"永續",6,0,6
"溝通",6,0,6
"協商",6,0,6
"過程",5,1,6
"對於",5,1,6
"解決",5,1,6
"資源",5,1,6
"事情",5,1,6
"處理",5,1,6
"工作",5,1,6
"政治",5,1,6
"並且",4,2,6
"告訴",4,2,6
"提升",4,2,6
"原則",4,2,6
"許多",4,2,6
"作為",3,3,6
"期待",3,3,6
"市場",3,3,6
"起來",3,3,6
"同時",3,3,6
"不能",3,3,6
"有效",3,3,6
"現場",2,4,6
"力量",2,4,6
"夥伴",2,4,6
"人才",1,5,6
"醫療",1,5,6
"戰略",0,6,6
"團隊",0,6,6
"國防",0,6,6
"戰力",0,6,6
"處境",5,0,5
"感謝",4,1,5
"選舉",4,1,5
"堅定",4,1,5
"新時代",4,1,5
"自己",4,1,5
"但是",4,1,5
"追求",4,1,5
"公民",4,1,5
"全體",3,2,5
"國民",3,2,5
"只是",3,2,5
"不要",3,2,5
"包括",3,2,5
"不過",3,2,5
"而是",3,2,5
"秉持",3,2,5
"難關",2,3,5
"家庭",2,3,5
"特別",2,3,5
"展開",2,3,5
"成長",2,3,5
"無論",2,3,5
"深化",2,3,5
"情勢",2,3,5
"做出",2,3,5
"達成",2,3,5
"再生",1,4,5
"方面",1,4,5
"共同體",1,4,5
"這樣",1,4,5
"能量",1,4,5
"一定",1,4,5
"繁榮",1,4,5
"加速",0,5,5
"更多",0,5,5
"整個",4,0,4
"如果",4,0,4
"失去",4,0,4
"勇敢",4,0,4
"規劃",4,0,4
"曾經",4,0,4
"集體",4,0,4
"公平",4,0,4
"真相",4,0,4
"維護",4,0,4
"事實",4,0,4
"各國",3,1,4
"信任",3,1,4
"完成",3,1,4
"忘記",3,1,4
"領導",3,1,4
"越來越",3,1,4
"世代",3,1,4
"創新",3,1,4
"緊密",3,1,4
"時代",3,1,4
"尤其",3,1,4
"態度",3,1,4
"建構",3,1,4
"調查",3,1,4
"意識",3,1,4
"爭議",3,1,4
"很多",2,2,4
"願意",2,2,4
"幫助",2,2,4
"另外",2,2,4
"時刻",2,2,4
"防治",2,2,4
"事件",2,2,4
"發生",2,2,4
"委員會",2,2,4
"一樣",2,2,4
"人權",2,2,4
"關心",2,2,4
"無法",2,2,4
"貢獻",2,2,4
"憲法",2,2,4
"看到",2,2,4
"克服",1,3,4
"核心",1,3,4
"研發",1,3,4
"部會",1,3,4
"治理",1,3,4
"除了",1,3,4
"成立",1,3,4
"策略",1,3,4
"憲政",1,3,4
"投資",1,3,4
"檢討",1,3,4
"成功",1,3,4
"故事",1,3,4
"動員",1,3,4
"方向",1,3,4
"物資",0,4,4
